geografia_key,ubigeo,dominio_cod,dominio,estrato_cod,estrato,latitud,longitud,altitud
3930,150103,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.026678482,-76.934273504,325.152923721
3931,150123,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.093677093,-76.879055281,449.553307322
3932,150106,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.849572516,-77.010338139,270.934170187
3933,150101,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.047800466,-77.05483532,119.589791438
3934,150132,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.964476765,-77.017481543,363.539768979
3935,150103,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.041832066,-76.890788483,458.884047468
3936,150133,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.141348075,-76.970394687,175.092963272
3937,150103,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.045336686,-76.928115758,321.477812185
3938,150110,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.950491019,-77.059298559,95.369974986
3939,150137,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.04602203,-76.964628987,265.218782527
3940,150132,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.992659507,-77.01814732,267.046249173
3941,150133,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.143246794,-76.980173353,99.5811840264
3942,150106,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.869616299,-77.00986551,294.043776613
3943,150132,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.952995374,-77.007718616,377.436479456
3944,150130,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.089959055,-77.005599109,160.222997817
3945,150132,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.995659942,-77.009693085,219.239547684
3946,150101,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.064438505,-77.042953863,129.897130766
3947,150108,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.175222077,-77.010454713,44.6898609611
3948,150108,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.203484426,-76.980400375,39.0574975036
3949,150101,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.056142328,-77.020163117,166.039312564
3950,150143,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.157798068,-76.954211331,152.820755654
3951,150142,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.203040004,-76.952621269,117.661468544
3952,150139,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.820120048,-77.148387384,412.248977961
3953,150117,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.994242395,-77.070531068,61.2718473246
3954,150143,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.154651404,-76.957294935,167.451458298
3955,150107,8,Lima Metropolitana,1,De 500 000 a más habitantes,-11.986026801,-76.780118953,697.321617757
3956,150115,8,Lima Metropolitana,1,De 500 000 a más habitantes,-12.071713718,-77.018603816,152.335541237
3957,150812,2,Costa Centro,4,De 20 000 a 49 999 habitantes,-11.022174018,-77.641180008,38.8391494329
3958,150812,2,Costa Centro,4,De 20 000 a 49 999 habitantes,-11.023478479,-77.62807674,53.8897508835
3959,150507,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-13.052340153,-76.355265851,96.8727981082
3960,150605,2,Costa Centro,3,De 50 000 a 99 999 habitantes,-11.568389095,-77.271050456,37.570758847
3961,150601,2,Costa Centro,3,De 50 000 a 99 999 habitantes,-11.490802477,-77.208707713,177.615216634
3962,150806,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-11.068785806,-77.596517049,73.3496538178
3963,150605,2,Costa Centro,3,De 50 000 a 99 999 habitantes,-11.512057555,-77.255556824,132.198903691
3964,150605,2,Costa Centro,3,De 50 000 a 99 999 habitantes,-11.503282104,-77.291256712,79.9556539553
3965,150202,2,Costa Centro,4,De 20 000 a 49 999 habitantes,-10.615159706,-77.767645529,59.2590732476
3966,150806,2,Costa Centro,2,De 100 000 a 499 999 habitantes,-11.071156757,-77.596491387,66.5079187134
3967,150601,2,Costa Centro,3,De 50 000 a 99 999 habitantes,-11.500122798,-77.211932971,173.066160283
3968,150509,2,Costa Centro,7,Área de Empadronamiento Rural compuesto,-12.669829036,-76.62480046,60.0
3969,150509,2,Costa Centro,7,Área de Empadronamiento Rural compuesto,-12.691415899,-76.626691164,25.0
3970,150811,2,Costa Centro,7,Área de Empadronamiento Rural compuesto,-11.050663333,-77.124803333,951.0
3971,150811,2,Costa Centro,7,Área de Empadronamiento Rural compuesto,-11.144798333,-77.187273333,731.0
3972,150727,2,Costa Centro,6,De 500 a 1 999 habitantes,-11.911413399,-76.538014118,1442.53727259
3973,150906,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-10.856001667,-76.802165,3622.0
3974,150906,5,Sierra Centro,8,Área de Empadronamiento Rural simple,-10.893723333,-76.800961667,3311.0
3975,150606,5,Sierra Centro,7,Área de Empadronamiento Rural compuesto,-11.225891667,-76.913405,2320.0
3976,150606,5,Sierra Centro,7,Área de Empadronamiento Rural compuesto,-11.254586667,-76.928221667,1998.0
3977,160101,7,Selva,2,De 100 000 a 499 999 habitantes,-3.736393523,-73.251992807,96.2662063995
3978,160101,7,Selva,2,De 100 000 a 499 999 habitantes,-3.73707619,-73.261493788,89.0110794371
3979,160113,7,Selva,2,De 100 000 a 499 999 habitantes,-3.774371654,-73.275047534,94.9697454532
3980,160113,7,Selva,2,De 100 000 a 499 999 habitantes,-3.78785103,-73.334412662,93.6065130009
3981,160113,7,Selva,2,De 100 000 a 499 999 habitantes,-3.772946533,-73.283208403,109.533455114
3982,160113,7,Selva,2,De 100 000 a 499 999 habitantes,-3.844886517,-73.336643762,100.808088542
