vivienda_key,tipo_vivienda_cod,tipo_vivienda,material_pared_cod,material_pared,material_piso_cod,material_piso,material_techo_cod,material_techo,tenencia_vivienda_cod,tenencia_vivienda
23,1.0,Casa independiente,3.0,Adobe,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
24,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
25,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,3.0,Tejas,6,Cedida por otro hogar o institución
26,1.0,Casa independiente,3.0,Adobe,3.0,"Losetas, terrazos o similares",3.0,Tejas,1,Alquilada
27,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,3.0,Tejas,2,Propia totalmente pagada
28,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
29,1.0,Casa independiente,9.0,Otro material,5.0,Cemento,3.0,Tejas,2,Propia totalmente pagada
30,1.0,Casa independiente,7.0,Madera,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
31,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,2.0,Madera,2,Propia totalmente pagada
32,1.0,Casa independiente,7.0,Madera,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
33,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
34,5.0,Choza o cabaña,7.0,Madera,6.0,Tierra,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
35,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,1,Alquilada
36,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
37,1.0,Casa independiente,8.0,"Triplay, calamina o estera",5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
38,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
39,1.0,Casa independiente,8.0,"Triplay, calamina o estera",5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
40,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
41,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,3,Propia por invasión
42,1.0,Casa independiente,7.0,Madera,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
43,1.0,Casa independiente,9.0,Otro material,6.0,Tierra,1.0,Concreto armado,3,Propia por invasión
44,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
45,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,6.0,"Triplay, estera o carrizo",2,Propia totalmente pagada
46,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,1.0,Concreto armado,6,Cedida por otro hogar o institución
47,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,6.0,"Triplay, estera o carrizo",1,Alquilada
48,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
49,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,3.0,Tejas,6,Cedida por otro hogar o institución
50,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,3.0,Tejas,2,Propia totalmente pagada
51,1.0,Casa independiente,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
52,1.0,Casa independiente,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
53,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
54,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,3.0,Tejas,2,Propia totalmente pagada
55,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,3.0,Tejas,6,Cedida por otro hogar o institución
56,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
57,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
58,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,1.0,Concreto armado,2,Propia totalmente pagada
59,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,1.0,Concreto armado,2,Propia totalmente pagada
60,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
61,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
62,4.0,Vivienda en casa de vecindad,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
63,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
64,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,1,Alquilada
65,4.0,Vivienda en casa de vecindad,3.0,Adobe,6.0,Tierra,2.0,Madera,2,Propia totalmente pagada
66,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,1.0,Concreto armado,6,Cedida por otro hogar o institución
67,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,1,Alquilada
68,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,2,Propia totalmente pagada
69,1.0,Casa independiente,3.0,Adobe,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
70,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,2.0,Madera,2,Propia totalmente pagada
71,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
72,-1.0,No especificado,-1.0,No especificado,-1.0,No especificado,-1.0,No especificado,6,Cedida por otro hogar o institución
73,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,1.0,Parquet o madera pulida,1.0,Concreto armado,2,Propia totalmente pagada
74,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,1,Alquilada
75,4.0,Vivienda en casa de vecindad,9.0,Otro material,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
76,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
77,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,2,Propia totalmente pagada
78,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
79,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
80,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,2.0,Madera,2,Propia totalmente pagada
81,1.0,Casa independiente,7.0,Madera,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
82,1.0,Casa independiente,8.0,"Triplay, calamina o estera",5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
83,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
84,1.0,Casa independiente,7.0,Madera,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
85,1.0,Casa independiente,5.0,Quincha,6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
86,1.0,Casa independiente,5.0,Quincha,6.0,Tierra,5.0,Caña o estera con torta de barro o cemento,6,Cedida por otro hogar o institución
87,1.0,Casa independiente,5.0,Quincha,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,2,Propia totalmente pagada
88,4.0,Vivienda en casa de vecindad,3.0,Adobe,5.0,Cemento,3.0,Tejas,1,Alquilada
89,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,1,Alquilada
90,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
91,4.0,Vivienda en casa de vecindad,6.0,Piedra con barro,5.0,Cemento,3.0,Tejas,2,Propia totalmente pagada
92,4.0,Vivienda en casa de vecindad,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
93,4.0,Vivienda en casa de vecindad,3.0,Adobe,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
94,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
95,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,6,Cedida por otro hogar o institución
96,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,1,Alquilada
97,4.0,Vivienda en casa de vecindad,3.0,Adobe,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
98,4.0,Vivienda en casa de vecindad,7.0,Madera,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
99,1.0,Casa independiente,7.0,Madera,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
100,1.0,Casa independiente,4.0,Tapia,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
101,1.0,Casa independiente,6.0,Piedra con barro,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
102,5.0,Choza o cabaña,5.0,Quincha,6.0,Tierra,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
